title,doi,altmetric_jid,issns,journal,cohorts.sci,context.all.count,context.all.mean,context.all.rank,context.all.pct,context.all.higher_than,context.journal.count,context.journal.mean,context.journal.rank,context.journal.pct,context.journal.higher_than,context.similar_age_3m.count,context.similar_age_3m.mean,context.similar_age_3m.rank,context.similar_age_3m.pct,context.similar_age_3m.higher_than,context.similar_age_journal_3m.count,context.similar_age_journal_3m.mean,context.similar_age_journal_3m.rank,context.similar_age_journal_3m.pct,context.similar_age_journal_3m.higher_than,authors1,authors2,authors3,authors4,authors5,authors6,type,epubdate,altmetric_id,schema,is_oa,publisher_subjects.name1,publisher_subjects.name2,publisher_subjects.scheme1,publisher_subjects.scheme2,cited_by_posts_count,cited_by_tweeters_count,cited_by_accounts_count,last_updated,score,history.1y,history.6m,history.3m,history.1m,history.1w,history.6d,history.5d,history.4d,history.3d,history.2d,history.1d,history.at,url,added_on,published_on,scopus_subjects1,scopus_subjects2,readers.citeulike,readers.mendeley,readers.connotea,readers_count,images.small,images.medium,images.large,details_url,issns1,issns2,pubdate,publisher_subjects.name,publisher_subjects.scheme,cited_by_fbwalls_count,scopus_subjects3,scopus_subjects4,cohorts.pub,publisher_subjects.name3,publisher_subjects.scheme3,cited_by_policies_count,scopus_subjects5,scopus_subjects6,publisher_subjects.name4,publisher_subjects.name5,publisher_subjects.name6,publisher_subjects.name7,publisher_subjects.name8,publisher_subjects.scheme4,publisher_subjects.scheme5,publisher_subjects.scheme6,publisher_subjects.scheme7,publisher_subjects.scheme8,authors7,authors8,authors9,authors10,authors11,authors12,authors13,authors14,authors15,authors16,cohorts.com,cited_by_msm_count,authors,cohorts.doc,cited_by_feeds_count,authors17,authors18,authors19,authors20,authors21,authors22,authors23,authors24,authors25,authors26,scopus_subjects,publisher_subjects.name9,publisher_subjects.name10,publisher_subjects.scheme9,publisher_subjects.scheme10,handles,handle,pmid,authors27,authors28,authors29,attribution,ordinal_number,arxiv_id,ads_id,isbns,isbns1,isbns2,editors,cited_by_wikipedia_count,uri,isbns3,authors_or_editors1,authors_or_editors2,authors_or_editors3,authors30,authors31,authors32,authors33,authors34,authors35,handles1,handles2,editors1,editors2,cited_by_rdts_count,authors36,authors37,authors38,authors39,authors40,authors41,authors42,authors43,authors44,authors45,authors46,authors47,authors48,authors49,authors50,authors51,authors52,authors53,authors54,authors55,authors56,editors3,editors4,authors57,authors58,published_date,year
Fostering innovation in the blue economy within the United Kingdom (UK): A stakeholders’ perspective,10.1016/j.ocecoaman.2022.106143,4f6fa6063cf058f6100066bf,0964-5691,Ocean & Coastal Management,NA,23577761,10.3753134200603,13253554,43,10265396,2512,7.0352030254777,1167,53,1341,444029,13.5271320296638,167533,61,274378,53,15.4045660377358,21,60,32,Christos Kontovas,Ana Armada Bras,Chia-Hsun Chang,Abbie Romano,Mark Ching-Pong Poo,Jin Wang,article,NA,127373775,1.5.4,FALSE,Earth Sciences,Environmental Sciences,era,era,4,4,4,1652078859,2.95,0,0,0,0,0,0,0,0,0,0,0,2.95,http://dx.doi.org/10.1016/j.ocecoaman.2022.106143,1651051067,1654041600,Life Sciences,Environmental Science,0,53,0,53,https://badges.altmetric.com/?size=64&score=3&types=tttttttt,https://badges.altmetric.com/?size=100&score=3&types=tttttttt,https://badges.altmetric.com/?size=180&score=3&types=tttttttt,https://www.altmetric.com/details.php?citation_id=127373775,NA,NA,1654041600,NA,NA,NA,Physical Sciences,Agricultural and Biological Sciences,4,Studies In Human Society,era,NA,Earth and Planetary Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Helen McCormack,Zhuohua Qu,Dimitrios Paraskevadakis,Lucy Lamb,Zaili Yang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-01T00:00:00Z,2022
A Decade of South Africa’s Acoustic Tracking Array Platform: An Example of a Successful Ocean Stewardship Programme,10.3389/fmars.2022.886554,52fbad613cf058f70b8b4567,2296-7745,Frontiers in Marine Science,8,23088369,10.2611820691367,1279745,94,21809807,8635,13.9202232773596,854,90,7783,439433,13.4092867354056,29737,93,409699,636,9.47957547169811,48,92,589,Taryn S. Murray,Chantel Elston,Matthew C. Parkinson,John D. Filmalter,Paul D. Cowley,NA,article,1653264000,128770334,1.5.4,FALSE,NA,NA,NA,NA,37,30,31,1660218960,25.55,25.55,0,0,0,0,0,0,0,0,0,0,25.55,http://dx.doi.org/10.3389/fmars.2022.886554,1653298967,1653264000,NA,NA,0,25,0,25,https://badges.altmetric.com/?size=64&score=26&types=bttttttt,https://badges.altmetric.com/?size=100&score=26&types=bttttttt,https://badges.altmetric.com/?size=180&score=26&types=bttttttt,https://www.altmetric.com/details.php?citation_id=128770334,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-23T00:00:00Z,2022
An Assessment of the Financial Feasibility of an OTEC Ecopark: A Case Study at Cozumel Island,10.3390/su14084654,4f6fa6c23cf058f610009da5,2071-1050,Sustainability,NA,23570677,10.3743516046781,15862459,22,5251651,20297,4.60251938710156,9841,31,6339,443822,13.9248519136039,252615,32,144694,1291,3.55298528272657,507,43,564,Jessica Guadalupe Tobal-Cupul,Erika Paola Garduño-Ruiz,Emiliano Gorr-Pozzi,Jorge Olmedo-González,Emily Diane Martínez,Andrés Rosales,article,1649808000,126908159,1.5.4,FALSE,NA,NA,NA,NA,1,1,1,1650373201,1,0,0,0,0,0,0,0,0,0,0,0,1,http://dx.doi.org/10.3390/su14084654,1650373213,1649808000,NA,NA,0,22,0,22,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,https://www.altmetric.com/details.php?citation_id=126908159,NA,NA,NA,Built Environment And Design,era,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dulce Daniela Navarro-Moreno,Jonathan Emmanuel Benítez-Gallardo,Fabiola García-Vega,Michelle Wang,Santiago Zamora-Castillo,Yandy Rodríguez-Cueto,Graciela Rivera,Alejandro García-Huante,José A. Zertuche-González,Estela Cerezo-Acevedo,NA,NA,NA,NA,NA,Rodolfo Silva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-13T00:00:00Z,2022
A framework for mapping and monitoring human-ocean interactions in near real-time during COVID-19 and beyond,10.1016/j.marpol.2022.105054,4f6fa6053cf058f61000668e,0308-597X,Marine Policy,4,23577761,10.3753134200603,3678822,84,19892125,3389,14.0109666568309,974,71,2412,444029,13.5271320296638,76089,82,367675,58,8.74120689655172,18,68,40,CA Ward-Paige,ER White,EMP Madin,GJ Osgood,LK Bailes,RL Bateman,article,NA,126156366,1.5.4,FALSE,Environmental Science And Management,Political Science,era,era,16,12,12,1659031665,8.95,0,0,0,0,0,0,0,0,0,0,0,8.95,http://dx.doi.org/10.1016/j.marpol.2022.105054,1649382695,1654041600,Life Sciences,Social Sciences,0,58,0,58,https://badges.altmetric.com/?size=64&score=9&types=tttttttt,https://badges.altmetric.com/?size=100&score=9&types=tttttttt,https://badges.altmetric.com/?size=180&score=9&types=tttttttt,https://www.altmetric.com/details.php?citation_id=126156366,NA,NA,1654041600,NA,NA,NA,Environmental Science,"Economics, Econometrics and Finance",7,Law,era,NA,Physical Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E. Belonje,KV Burns,N. Cullain,P. Darbyshire-Jenkins,R.S. de Waegh,AM Eger,L. Fola-Matthews,BM Ford,C. Gonson,CJ Honeyman,NA,NA,NA,1,NA,JE House,E. Jacobs,LK Jordan,JJ Levenson,K. Lucchini,P Martí-Puig,LAH McGuire,C. Meneses,PH Montoya-Maya,RA Noonan,NA,NA,NA,NA,NA,NA,NA,35399704,PA Ruiz-Ruiz,PE Ruy,RA Saputra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G. Shedrawi,B. Sing,MD Tietbohl,A. Twomey,DC Vergara Florez,L. Yamb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-01T00:00:00Z,2022
Deep aspirations: towards a sustainable offshore Blue Economy,10.1007/s11160-020-09628-6,4f6fa5323cf058f6100044bd,NA,Reviews in Fish Biology and Fisheries,19,24167226,10.5549318188372,1390994,94,22776659,603,12.0295223880597,69,88,535,510969,14.4423792402265,39397,92,471574,15,21.5353333333333,5,73,11,Camilla Novaglio,Narissa Bax,Fabio Boschetti,Gholam Reza Emad,Stewart Frusher,Liam Fullbrook,article,1611187200,98608907,1.5.4,FALSE,Freshwater & Marine Ecology,Life Sciences,springer,springer,60,40,41,1647893242,25.15,0,0,0,0,0,0,0,0,0,0,0,25.15,http://dx.doi.org/10.1007/s11160-020-09628-6,1611588290,1611187200,Life Sciences,Agricultural and Biological Sciences,0,117,0,117,https://badges.altmetric.com/?size=64&score=26&types=tttttttf,https://badges.altmetric.com/?size=100&score=26&types=tttttttf,https://badges.altmetric.com/?size=180&score=26&types=tttttttf,https://www.altmetric.com/details.php?citation_id=98608907,0960-3166,1573-5184,1646092800,NA,NA,1,NA,NA,20,Zoology,springer,NA,NA,NA,Fisheries Sciences,Zoology,NA,NA,NA,era,era,NA,NA,NA,Mark Hemer,Sarah Jennings,Ingrid van Putten,Lucy M. Robinson,Erica Spain,Joanna Vince,Michelle Voyer,Graham Wood,Elizabeth A. Fulton,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33500602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-21T00:00:00Z,2021
"Ten lessons on the resilience of the EU common fisheries policy towards climate change and fuel efficiency - A call for adaptive, flexible and well-informed fisheries management",10.3389/fmars.2022.947150,52fbad613cf058f70b8b4567,2296-7745,Frontiers in Marine Science,2,23577654,10.3769586132825,2472010,89,21101014,9086,13.9268950033018,1713,81,7371,433436,13.7237406860516,52435,87,380985,813,7.330012300123,81,89,731,Francois Bastardie,David A. Feary,Thomas Brunel,Laurence T. Kell,Ralf Döring,Sebastien Metz,article,1659571200,133632285,1.5.4,FALSE,NA,NA,NA,NA,21,19,19,1662022822,12.25,12.25,0,0,0,0,0,0,0,0,0,0,12.25,http://dx.doi.org/10.3389/fmars.2022.947150,1659598523,1659571200,NA,NA,0,36,0,36,https://badges.altmetric.com/?size=64&score=13&types=tttttttt,https://badges.altmetric.com/?size=100&score=13&types=tttttttt,https://badges.altmetric.com/?size=180&score=13&types=tttttttt,https://www.altmetric.com/details.php?citation_id=133632285,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ole R. Eigaard,Oihane C. Basurko,Valerio Bartolino,Jacob Bentley,Benoit Berges,Sieme Bossier,Mollie E. Brooks,Ainhoa Caballero,Leire Citores,Georgi Daskalov,1,NA,NA,NA,NA,Jochen Depestele,Gorka Gabiña,Martin Aranda,Katell G. Hamon,Manuel Hidalgo,Stelios Katsanevakis,Alexander Kempf,Bernhard Kühn,J. Rasmus Nielsen,Miriam Püts,NA,NA,NA,NA,NA,NA,NA,NA,Marc Taylor,George Triantaphyllidis,Konstantinos Tsagarakis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agurtzane Urtizberea,Luc van Hoof,Jasper van Vlasselaer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-04T00:00:00Z,2022
Phosphorus mining from eutrophic marine environment towards a blue economy: The role of bio-based applications,10.1016/j.watres.2022.118505,4f6fa5153cf058f610003717,0043-1354,Water Research,NA,23750517,10.4097683128504,13650422,42,10088736,11234,4.51470820722807,5304,52,5923,440076,13.6669850525807,172591,60,267166,556,4.07645323741007,126,77,431,Ece Kendir Cakmak,Marco Hartl,Johannes Kisser,Zeynep Cetecioglu,NA,NA,article,NA,127415021,1.5.4,FALSE,NA,NA,NA,NA,5,4,4,1652342669,2.45,0,0,0,0,0,0,0,0,0,0,0,2.45,http://dx.doi.org/10.1016/j.watres.2022.118505,1651125634,1656633600,Physical Sciences,Environmental Science,0,64,0,64,https://badges.altmetric.com/?size=64&score=3&types=tttttttt,https://badges.altmetric.com/?size=100&score=3&types=tttttttt,https://badges.altmetric.com/?size=180&score=3&types=tttttttt,https://www.altmetric.com/details.php?citation_id=127415021,NA,NA,1656633600,Multidisciplinary,era,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-01T00:00:00Z,2022
A review of support tools to assess multi-sector interactions in the emerging offshore Blue Economy,10.1016/j.envsci.2022.03.016,4f6fa6043cf058f61000653c,1462-9011,Environmental Science & Policy,6,23571271,10.3825628479047,5612676,76,17952306,2478,12.4628821630347,1100,55,1377,438851,13.5960222809097,103990,76,334659,46,16.8869565217391,30,34,16,MP Turschwell,MA Hayes,M. Lacharité,M. Abundo,J. Adams,J. Blanchard,article,NA,126459592,1.5.4,FALSE,Environmental Sciences,Studies In Human Society,era,era,12,11,11,1650547085,5.95,0,0,0,0,0,0,0,0,0,0,0,5.95,http://dx.doi.org/10.1016/j.envsci.2022.03.016,1649727903,1656633600,Physical Sciences,Social Sciences,0,52,0,52,https://badges.altmetric.com/?size=64&score=6&types=tttttttt,https://badges.altmetric.com/?size=100&score=6&types=tttttttt,https://badges.altmetric.com/?size=180&score=6&types=tttttttt,https://www.altmetric.com/details.php?citation_id=126459592,NA,NA,1656633600,NA,NA,NA,Environmental Science,NA,5,Agricultural And Veterinary Sciences,era,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E. Brain,CA Buelow,C. Bulman,SA Condie,RM Connolly,I. Dutton,EA Fulton,S. Gallagher,D. Maynard,H. Pethybridge,NA,NA,NA,NA,NA,E. Plagányi,J. Porobic,SE Taelman,R. Trebilco,G. Woods,CJ Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-01T00:00:00Z,2022
Bio-Based Products from Mediterranean Seaweeds: Italian Opportunities and Challenges for a Sustainable Blue Economy,10.3390/su14095634,4f6fa6c23cf058f610009da5,2071-1050,Sustainability,NA,23742253,10.4046881353812,7821679,44,10581115,20608,4.60373185170809,5085,70,14607,443766,13.8164799826923,154389,62,279467,1217,3.49258668857847,222,81,989,Simona Armeli Minicante,Lucia Bongiorni,Amelia De Lazzari,NA,NA,NA,article,1651881600,128014862,1.5.4,FALSE,NA,NA,NA,NA,6,5,5,1652255613,3,0,0,0,0,0,0,0,0,0,0,0,3,http://dx.doi.org/10.3390/su14095634,1652183073,1651881600,NA,NA,0,44,0,44,https://badges.altmetric.com/?size=64&score=3&types=tttttttt,https://badges.altmetric.com/?size=100&score=3&types=tttttttt,https://badges.altmetric.com/?size=180&score=3&types=tttttttt,https://www.altmetric.com/details.php?citation_id=128014862,NA,NA,NA,Built Environment And Design,era,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-07T00:00:00Z,2022
COVID-19 and the Spanish Celtic Sea fishery: An economic analysis,10.1016/j.marpol.2022.105204,4f6fa6053cf058f61000668e,0308-597X,Marine Policy,NA,22957478,10.2291625233565,20407586,1,0,3287,13.8247879525403,3078,1,0,430299,13.07070495632,340363,1,0,81,6.23407407407407,65,1,0,Raquel Fernández-González,Marcos I. Pérez-Pérez,María Dolores Garza-Gil,NA,NA,NA,article,NA,133086518,1.5.4,FALSE,Environmental Science And Management,Political Science,era,era,1,1,1,1658714461,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,http://dx.doi.org/10.1016/j.marpol.2022.105204,1658714472,1661990400,Life Sciences,Social Sciences,0,21,0,21,https://badges.altmetric.com/?size=64&score=1&types=tttttttt,https://badges.altmetric.com/?size=100&score=1&types=tttttttt,https://badges.altmetric.com/?size=180&score=1&types=tttttttt,https://www.altmetric.com/details.php?citation_id=133086518,NA,NA,1661990400,NA,NA,NA,Environmental Science,"Economics, Econometrics and Finance",1,Law,era,NA,Physical Sciences,Agricultural and Biological Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-09-01T00:00:00Z,2022
Prospects of Low Trophic Marine Aquaculture Contributing to Food Security in a Net Zero-Carbon World,10.3389/fsufs.2022.875509,59c0f4847ac79e68b57d3093,2571-581X,Frontiers in Sustainable Food Systems,2,24036420,10.5319207655036,2803898,88,21230221,2148,10.3954394785847,276,87,1872,428722,14.4189157216085,60324,85,368303,148,4.6707027027027,11,93,138,Gesche Krause,Lewis Le Vay,Bela H. Buck,Barry Antonio Costa-Pierce,Tobias Dewhurst,Kevin G. Heasman,article,1653523200,128909354,1.5.4,FALSE,NA,NA,NA,NA,15,15,15,1656498292,11.55,0,0,0,0,0,0,0,0,0,0,0,11.55,http://dx.doi.org/10.3389/fsufs.2022.875509,1653582965,1653523200,NA,NA,0,38,0,38,https://badges.altmetric.com/?size=64&score=12&types=tttttttt,https://badges.altmetric.com/?size=100&score=12&types=tttttttt,https://badges.altmetric.com/?size=180&score=12&types=tttttttt,https://www.altmetric.com/details.php?citation_id=128909354,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nancy Nevejan,Pernille Nielsen,Kåre Nolde Nielsen,Kyungil Park,Maximilian F. Schupp,Jean-Baptiste Thomas,Max Troell,Julie Webb,Anna Lisa Wrange,Friederike Ziegler,2,NA,NA,NA,NA,Åsa Strand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-26T00:00:00Z,2022
"Development-aligned mangrove conservation strategy for enhanced blue economy: A successful model from Gujarat, India",10.1016/j.ecss.2022.107929,4f6fa4eb3cf058f610002805,0272-7714,Estuarine Coastal & Shelf Science,NA,23323574,10.3084138046148,2060217,91,21233818,3201,4.84756013745704,141,95,3060,433341,13.3434929582001,43881,89,389248,80,5.8369,7,91,73,Hardik Shah,R Ramesh,NA,NA,NA,NA,article,NA,133515551,1.5.4,FALSE,Earth Sciences,Environmental Sciences,era,era,2,NA,2,1676028594,15,15,7,0,0,0,0,0,0,0,0,0,15,http://dx.doi.org/10.1016/j.ecss.2022.107929,1659431270,1661990400,Life Sciences,Physical Sciences,0,51,0,51,https://badges.altmetric.com/?size=64&score=15&types=mmmmmmmm,https://badges.altmetric.com/?size=100&score=15&types=mmmmmmmm,https://badges.altmetric.com/?size=180&score=15&types=mmmmmmmm,https://www.altmetric.com/details.php?citation_id=133515551,NA,NA,1661990400,NA,NA,NA,Agricultural and Biological Sciences,Earth and Planetary Sciences,NA,Biological Sciences,era,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-09-01T00:00:00Z,2022
The SEA-UNICORN European COST Action: Advancing Knowledge on Marine Connectivity to Support Transition to a Sustainable Blue Economy,10.4031/mtsj.56.3.19,4f6fa5753cf058f610004cf5,0025-3324,Marine Technology Society Journal,4,23993601,10.529747927553,3842664,83,20139408,152,4.19847368421053,17,90,137,432922,14.2469923588997,79028,81,353690,11,4.90909090909091,2,90,10,Audrey M. Darnaude,Yael Teff Seker,Federica Costantini,Susanne Tanner,Anna Sturrock,Lucía López-López,article,NA,129813401,1.5.4,FALSE,Oceanography,Maritime Engineering,era,era,10,9,10,1687910400,8.7,3,3,3,0,0,0,0,0,0,0,0,8.7,http://dx.doi.org/10.4031/mtsj.56.3.19,1655445808,1654646400,Engineering,Physical Sciences,0,6,0,6,https://badges.altmetric.com/?size=64&score=9&types=tttttttd,https://badges.altmetric.com/?size=100&score=9&types=tttttttd,https://badges.altmetric.com/?size=180&score=9&types=tttttttd,https://www.altmetric.com/details.php?citation_id=129813401,NA,NA,1654646400,NA,NA,NA,Earth and Planetary Sciences,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hidalgo Manuel,Maria Beger,Ant Türkmen,Myron Peck,Filip Volkaert,Ewan Hunter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-08T00:00:00Z,2022
Seabed mining and blue growth: exploring the potential of marine mineral deposits as a sustainable source of rare earth elements (MaREEs) (IUPAC Technical Report),10.1515/pac-2021-0325,4f6fa5133cf058f610003401,NA,Pure & Applied Chemistry,2,24150351,10.5522212262027,1103144,95,23046790,1645,5.57102978723404,20,98,1626,507068,13.6980660424231,28084,94,478982,3,15.71,1,99,3,Fani Sakellariadou,Francisco J. Gonzalez,James R. Hein,Blanca Rincón-Tomás,Nikolaos Arvanitidis,Thomas Kuhn,article,1643932800,122955050,1.5.4,FALSE,NA,NA,NA,NA,10,6,10,1690419600,33.2,26,23,23,7,0,0,0,0,0,0,0,33.2,http://dx.doi.org/10.1515/pac-2021-0325,1644678072,1643932800,Physical Sciences,Chemistry,0,50,0,50,https://badges.altmetric.com/?size=64&score=34&types=mmtttttd,https://badges.altmetric.com/?size=100&score=34&types=mmtttttd,https://badges.altmetric.com/?size=180&score=34&types=mmtttttd,https://www.altmetric.com/details.php?citation_id=122955050,0033-4545,1365-3075,1648425600,Chemical Sciences,era,NA,Chemical Engineering,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-04T00:00:00Z,2022
